path,domain,layer,lifecycle_status,action,canonical_target,reason,reopen_rule
"data/gatterer_genealogical_evidence_layout_controls_1769_2026-08-26.jsonl","genealogical proof layout","method_extension","frozen","freeze","","Strong comparator for inspectability/layout, but outside the core frontispiece/plate-witness object scale.","Reopen if final argument explicitly requires a genealogy-layout comparison rather than plate migration."
"data/gatterer_heraldic_historization_controls_1791_1863_2026-08-26.jsonl","heraldic historization","method_extension","frozen","freeze","","Late reception/history-of-method branch has served its contextual function.","Reopen only for a historiographical claim about the afterlife of Gatterer's heraldic method."
"data/gatterer_heraldic_method_controls_1766_1861_2026-08-26.jsonl","heraldic method","method_extension","frozen","freeze","","Methodological controls are valuable but should not enlarge the canonical frontispiece corpus.","Reopen if a specific method locus directly bears on the function of a canonical plate/witness."
"data/genealogical_proof_distance_census_1621_1769_2026-08-26.csv","genealogical proof-distance","experimental_extension","quarantined","retain_exclude_from_canonical","","Recent experimental census; analytic dimensions are not yet stable and it is not required to close the frontispiece argument.","Promote only if the proof-distance variable becomes part of the final historiographical comparison."
"data/gnm_holdings_seed.csv","GNM discovery","discovery_inventory","quarantined","retain_exclude_from_canonical","","Institution-supplied holdings inventory is a discovery map, not a plate-witness census.","Promote selected rows only after item-level image/object inspection."
"data/handbook_copy_records.jsonl","handbook copies","core_copy","active","retain","","Copy-level handbook configurations bear directly on host transition and frontispiece persistence.","Canonicalise individual copies when stable shelfmark/object IDs and opening-leaf evidence are available."
"data/heraldic_historization_prehistory_reception_1699_1863_2026-08-26.jsonl","historical heraldry prehistory/reception","method_extension","frozen","freeze","","Broad comparator chain is useful for historiography but beyond the plate/witness core; contains duplicate Schertz material.","Reopen only for a final historiographical claim that requires a specific prehistory/reception link."
"data/parallel_apparatus_census.csv","parallel publication apparatus","contextual_core","active","retain","","Needed to reconstruct competing publication rhythms and material apparatus around the frontispiece ecology.","Freeze after final synthesis if no further core relation depends on unclassified rows."
"data/predecessor_calendar_census.csv","predecessor calendars","contextual_core","active","retain","","Necessary prehistory control showing genealogy/heraldry calendar apparatus before the Weigel programme.","Freeze once adoption/competition framing is final."
"data/production_network_records.jsonl","production network","core_network","active","retain","","Designer/engraver/printer/publisher relations are necessary for plate-stock and production claims.","Canonicalise relations when authority IDs and dates are stable."
"data/raspe_cumulative_distribution_control_1775.jsonl","late cumulative distribution","late_endpoint_core","active","retain","","Directly bears on serial-to-cumulative publication regime and late endpoint.","Freeze after 1767-1776 frontispiece persistence is resolved at copy level."
"data/research_leads.csv","research queue","operational_mixed","quarantined","retain_exclude_from_canonical","data/canonical/research_questions.jsonl","Mixes open leads, closed leads, bounded negatives and historiography controls; not a corpus table.","Use only as provenance for an open canonical research question or to recover a closed lead history."
"data/schertz_historical_heraldry_control_1699_2026-08-26.jsonl","Schertz comparator","duplicate_extension","frozen","freeze","","Substantially duplicated by the broader heraldic-historization file; the separate file has useful evidence cautions but should not be loaded independently.","Reopen only if Schertz becomes a named final historiographical comparator requiring page-level primary control."
"data/transition_plate_control_2026-08-26.jsonl","frontispiece transition","legacy_transition","superseded","merge_freeze","data/canonical/frontispiece_witnesses.jsonl","Transition evidence is now better represented as claim-specific witness records plus canonical research questions.","Reopen to recover a transition-specific source not migrated into canonical witnesses."
"data/transmission_network_records.jsonl","transmission/custody network","core_network","active","retain","","Needed for plate/text/object movement, rehosting and custody claims.","Canonicalise only relations that meet explicit source and identity-level requirements."
"data/verlagskupfer_reuse_control_2026-08-26.jsonl","publisher-held plate stock","core_comparator","active","retain","","Actor-level primary control for reusable Verlagskupfer remains central to the project-specific plate-stock ecology claim even though generic plate-stock history is established prior art.","Freeze when the specific custody/reuse relation to the threshold apparatus is either demonstrated or bounded as unresolvable."
"data/wappenkalender_witness_census.csv","annual host census","legacy_host_census","superseded","retain_as_snapshot","data/canonical/annual_host_census.csv","Complete discovery-era annual spine but several composition rows became stale as new market/direct image controls arrived.","Reopen only to recover source detail omitted from the canonical annual spine."
"data/web_witness_records.jsonl","web/market discovery","discovery_evidence","quarantined","retain_exclude_from_canonical","","Volatile discovery layer; promote the observation, not the raw web record.","Reopen only to recover a source URL/image needed by a canonical witness."
"data/weigel_firm_authority_control_2026-08-26.jsonl","Weigel/Tyroff authority","legacy_authority","superseded","merge_freeze","data/canonical/entities.jsonl","Agent authorities are migrated into ontology-compliant canonical entities; conflict control remains an assertion rather than an agent property.","Reopen only for authority details or source provenance absent from canonical entities."
"data/weigel_publisher_authority_overrides_2026-08-26.jsonl","Weigel publisher resolution","legacy_authority_override","superseded","merge_freeze","data/canonical/entities.jsonl","Duplicates agent identities and mixes them with one high-confidence but non-literal imprint resolution.","Reopen if direct contemporary evidence changes the resolution of C. Weigels Witwe."
